Fecha,Número de recibo,Tipo de recibo,Categoria,REF,Artículo,Variante,Modificadores aplicados,Cantidad,Ventas brutas,Descuentos,Ventas netas,Costo de los bienes,Beneficio bruto,Impuestos,Tipo de pedido,TPV,Tienda,Nombre del cajero,Nombre del cliente,Contactos del cliente,Comentario,Estado
8/5/2026 9:24 p. m.,18-9602,Venta,Tacos,10289,Tacos,CHULETA,,2.000,70.00,0.00,70.00,36.00,34.00,0.00,Comer dentro,TPV 5,Master burger,Propietario,,,"Extra queso ",Cerrado
8/5/2026 9:13 p. m.,18-9601,Venta,Especiales,10576,Alambres,pollo,,1.000,135.00,135.00,0.00,0.00,0.00,0.00,Comer dentro,TPV 5,Master burger,Propietario,,,"Con queso mozarella y 3 tortillas nada más ",Cerrado
8/5/2026 9:13 p. m.,18-9601,Venta,Postres,10130,Uvas philadelphia,,,1.000,45.00,45.00,0.00,0.00,0.00,0.00,Comer dentro,TPV 5,Master burger,Propietario,,,,Cerrado
8/5/2026 9:12 p. m.,18-9600,Venta,Drinks,10022,Pitufo o pink lady 1lt,,,1.000,95.00,0.00,95.00,65.00,30.00,0.00,A domicilio,TPV 5,Master burger,Propietario,,,,Cerrado
8/5/2026 9:12 p. m.,18-9600,Venta,Refrescos,10079,Agua Embotellada,,,1.000,30.00,0.00,30.00,10.00,20.00,0.00,A domicilio,TPV 5,Master burger,Propietario,,,,Cerrado
8/5/2026 7:51 p. m.,18-9599,Venta,Tacos,10316,Tacos,CAMPECHANO,,2.000,70.00,0.00,70.00,36.00,34.00,0.00,Comer dentro,TPV 5,Master burger,Meseros,,,,Cerrado
8/5/2026 7:51 p. m.,18-9599,Venta,Tacos,10269,Tacos,ARRACHERA,,2.000,70.00,0.00,70.00,36.00,34.00,0.00,Comer dentro,TPV 5,Master burger,Meseros,,,,Cerrado
8/5/2026 7:51 p. m.,18-9599,Venta,Bebidas,10300,Agua sabor,jamaica / 1L,,1.000,40.00,0.00,40.00,0.00,40.00,0.00,Comer dentro,TPV 5,Master burger,Meseros,,,,Cerrado
8/5/2026 7:51 p. m.,18-9599,Venta,Refrescos,10182,Agua mineral,,,1.000,35.00,0.00,35.00,0.00,35.00,0.00,Comer dentro,TPV 5,Master burger,Meseros,,,,Cerrado
8/5/2026 7:51 p. m.,18-9599,Venta,HAMBURGUESAS,10004,Burger kfc,10 / 20 / 0,"Papas 120gr, Aderezo extra 2oz",1.000,130.00,0.00,130.00,50.00,80.00,0.00,Comer dentro,TPV 5,Master burger,Meseros,,,"BBQ ",Cerrado
8/5/2026 7:51 p. m.,18-9599,Venta,Tacos,10269,Tacos,ARRACHERA,,1.000,35.00,0.00,35.00,18.00,17.00,0.00,Comer dentro,TPV 5,Master burger,Meseros,,,,Cerrado
8/5/2026 7:51 p. m.,18-9599,Venta,Refrescos,10079,Agua Embotellada,,,1.000,30.00,0.00,30.00,10.00,20.00,0.00,Comer dentro,TPV 5,Master burger,Meseros,,,"Baso de hielos ",Cerrado
8/5/2026 5:52 p. m.,18-9598,Venta,Tacos,10316,Tacos,CAMPECHANO,,4.000,140.00,0.00,140.00,72.00,68.00,0.00,Comer dentro,TPV 5,Master burger,Meseros,,,"Sin cebolla ",Cerrado
8/5/2026 5:52 p. m.,18-9598,Venta,Envios,10040,Envío local,,,1.000,20.00,0.00,20.00,0.00,20.00,0.00,Comer dentro,TPV 5,Master burger,Meseros,,,,Cerrado
